user_name,bank_name,bank_type,platform,timestamp,text,category,sentiment_score,sentiment,likes,retweets,user_followers,is_reply,in_reply_to_bank_response,response_time_minutes,location
Siddharth,SBI,Public,Twitter,2025-07-07T03:29:20,Alert: fraudulent transaction noticed on my SBI account #DigitalBanking,fraud,-1,negative,2,0,877,TRUE,FALSE,,"Pune, India"
Pooja,Axis Bank,Private,Twitter,2024-08-18T21:11:38,Possible phishing attempt related to Axis Bank detected (Axis Mobile),fraud,0.34,positive,3,0,3780,FALSE,FALSE,,"Delhi, India"
Ananya,Axis Bank,Private,Twitter,2024-06-23T15:40:14,Axis Bank's new promo is tempting — good job,promotion,0.861,positive,5,1,5024,FALSE,FALSE,,"Delhi, India"
Keerthi,Bank of Baroda,Public,Twitter,2024-12-30T21:49:22,Can't complete payment on Bank of Baroda. UPI timeout happened,failure,-0.219,negative,1,2,14201,FALSE,TRUE,173,"Delhi, India"
Lakshmi,Bank of Baroda,Public,Twitter,2025-08-15T10:44:10,Great rewards from Bank of Baroda on UPI payments,promotion,0.621,positive,4,2,5107,FALSE,FALSE,,"Bengaluru, India"
Vihaan,HDFC Bank,Private,Twitter,2025-07-27T02:51:56,Reached out to HDFC Bank support on Twitter but no reply,service,-0.078,neutral,1,2,17239,FALSE,TRUE,76,"Bengaluru, India"
Meera,SBI,Public,Twitter,2025-11-08T16:41:19,SBI app crashed while transferring funds,failure,-0.877,negative,1,3,3992,FALSE,TRUE,90,"Bengaluru, India"
Divya,HDFC Bank,Private,Twitter,2025-03-26T16:52:22,HDFC Bank customer service resolved my issue quickly (HDFC app),service,-0.584,negative,1,1,7376,FALSE,TRUE,31,"Pune, India"
Vivaan,HDFC Bank,Private,Twitter,2025-06-14T11:55:06,Reached out to HDFC Bank support on Twitter but no reply #fraudAlert,service,-0.266,negative,5,0,5736,FALSE,TRUE,28,"Kolkata, India"
Lakshmi,Axis Bank,Private,Twitter,2025-10-27T22:17:05,Reached out to Axis Bank support on Twitter but no reply #fraudAlert,service,-0.071,neutral,1,1,19577,TRUE,FALSE,,"Pune, India"
Shreya,Bank of Baroda,Public,Twitter,2025-09-30T18:48:18,Bank of Baroda offered helpful service at the branch and online,service,-0.866,negative,2,1,10298,TRUE,FALSE,,"Kolkata, India"
Siddharth,SBI,Public,Twitter,2025-09-08T02:52:02,Chatbot couldn't help me — SBI needs better support,service,-0.535,negative,3,2,17360,TRUE,TRUE,115,"Delhi, India"
Ananya,PNB,Public,Twitter,2024-06-28T07:21:15,Can't complete payment on PNB. UPI timeout happened,failure,-0.457,negative,2,1,16965,FALSE,FALSE,,"Bengaluru, India"
Ishaan,SBI,Public,Twitter,2025-09-21T04:37:12,SBI app crashed while transferring funds,failure,-0.188,negative,1,0,15956,FALSE,FALSE,,"Chennai, India"
Sneha,ICICI Bank,Private,Twitter,2025-07-01T01:25:44,ICICI Bank app shows error during checkout,failure,-0.371,negative,1,0,19549,FALSE,FALSE,,"Mumbai, India"
Meera,Bank of Baroda,Public,Twitter,2024-12-24T09:38:07,Loving the cashback offer on Bank of Baroda app today!,promotion,0.253,positive,3,2,1591,FALSE,TRUE,14,"Delhi, India"
Vivaan,Bank of Baroda,Public,Twitter,2025-09-27T19:41:06,SBI/Banks: Bank of Baroda seems inconsistent with speed,speed,-0.237,negative,1,1,2023,FALSE,FALSE,,"Hyderabad, India"
Kavya,HDFC Bank,Private,Twitter,2025-09-21T16:31:12,Claimed an offer from HDFC Bank and it worked seamlessly,promotion,0.892,positive,1,1,17628,FALSE,TRUE,64,"Delhi, India"
Amit,PNB,Public,Twitter,2025-08-10T07:21:05,Why is PNB taking so long to process UPI?,speed,-0.594,negative,2,0,19910,TRUE,FALSE,,"Bengaluru, India"
Varun,PNB,Public,Twitter,2024-12-23T09:24:04,PNB app showing unknown beneficiary - possible fraud,fraud,-0.363,negative,1,0,3434,FALSE,FALSE,,"Hyderabad, India"
Pranav,Axis Bank,Private,Twitter,2024-12-23T11:34:30,"UPI failed on Axis Bank, very frustrating (Axis Mobile)",failure,-0.342,negative,2,1,16873,FALSE,FALSE,,"Mumbai, India"
Lakshmi,PNB,Public,Twitter,2025-02-09T06:46:45,Delay in transaction confirmation on PNB,speed,0.364,positive,2,0,4658,FALSE,FALSE,,"Mumbai, India"
Suresh,HDFC Bank,Private,Twitter,2024-11-29T16:13:48,Great rewards from HDFC Bank on UPI payments #Cashback (HDFC app),promotion,0.333,positive,0,0,11649,FALSE,TRUE,20,
Radhika,HDFC Bank,Private,Twitter,2025-07-16T04:30:32,Got a suspicious message claiming to be from HDFC Bank about OTP,fraud,-0.387,negative,4,0,17332,FALSE,FALSE,,"Mumbai, India"
Sowmya,SBI,Public,Twitter,2024-10-25T20:07:43,Chatbot couldn't help me — SBI needs better support,service,0.043,neutral,2,2,9328,FALSE,FALSE,,"Chennai, India"
Suresh,HDFC Bank,Private,Twitter,2024-07-20T17:10:24,HDFC Bank app crashed while transferring funds,failure,-0.331,negative,1,0,485,FALSE,FALSE,,"Hyderabad, India"
Riya,Bank of Baroda,Public,Twitter,2025-07-27T01:46:16,Bank of Baroda payment completed instantly — smooth!,speed,-0.08,neutral,12,0,13743,TRUE,FALSE,,"Chennai, India"
Sowmya,Axis Bank,Private,Twitter,2025-09-23T23:07:39,Long IVR wait time for Axis Bank. Very annoying,service,-0.5,negative,1,0,4886,FALSE,FALSE,,"Mumbai, India"
Diya,PNB,Public,Twitter,2025-07-24T06:34:01,"PNB promo gave instant discount, impressive",promotion,0.464,positive,2,1,7961,FALSE,FALSE,,"Pune, India"
Mahesh,Axis Bank,Private,Twitter,2024-08-29T16:12:35,SBI/Banks: Axis Bank seems inconsistent with speed,speed,-0.083,neutral,4,0,1018,FALSE,TRUE,5,"Pune, India"
Radhika,Axis Bank,Private,Twitter,2024-08-27T21:40:18,Can't complete payment on Axis Bank. UPI timeout happened,failure,0.428,positive,1,4,15945,FALSE,FALSE,,"Mumbai, India"
Rohit,Axis Bank,Private,Twitter,2025-10-20T04:18:35,Can't complete payment on Axis Bank. UPI timeout happened,failure,-0.834,negative,3,1,7342,TRUE,FALSE,,"Pune, India"
Lakshmi,ICICI Bank,Private,Twitter,2025-05-06T11:25:36,ICICI Bank app shows error during checkout (iMobile),failure,-0.342,negative,3,0,8858,FALSE,FALSE,,"Pune, India"
Vivaan,Axis Bank,Private,Twitter,2024-10-21T19:51:51,Claimed an offer from Axis Bank and it worked seamlessly (Axis Mobile),promotion,0.597,positive,2,2,5905,FALSE,FALSE,,"Kolkata, India"
Manish,Bank of Baroda,Public,Twitter,2025-06-23T22:15:25,Alert: fraudulent transaction noticed on my Bank of Baroda account #DigitalBanking,fraud,0.08,neutral,2,2,1559,FALSE,FALSE,,"Pune, India"
Aarav,ICICI Bank,Private,Twitter,2024-08-12T18:52:45,"ICICI Bank promo gave instant discount, impressive #banking",promotion,0.527,positive,1,0,247,FALSE,TRUE,37,"Pune, India"
Saanvi,Bank of Baroda,Public,Twitter,2025-09-05T11:30:09,Bank of Baroda customer service resolved my issue quickly,service,-0.341,negative,2,1,6704,TRUE,FALSE,,"Bengaluru, India"
Meera,HDFC Bank,Private,Twitter,2025-03-29T03:06:04,HDFC Bank's new promo is tempting — good job,promotion,0.945,positive,0,0,677,TRUE,FALSE,,"Delhi, India"
Ishaan,Bank of Baroda,Public,Twitter,2025-03-16T19:16:57,Can't complete payment on Bank of Baroda. UPI timeout happened,failure,0.171,positive,5,1,9984,FALSE,TRUE,46,"Delhi, India"
Siddharth,Axis Bank,Private,Twitter,2024-09-05T03:15:49,Axis Bank app showing unknown beneficiary - possible fraud,fraud,-0.382,negative,5,0,722,TRUE,TRUE,142,"Pune, India"
Keerthi,Bank of Baroda,Public,Twitter,2024-07-03T16:56:21,Bank of Baroda app crashed while transferring funds #banking,failure,-0.494,negative,2,0,4921,FALSE,TRUE,240,"Kolkata, India"
Divya,PNB,Public,Twitter,2025-09-09T15:02:04,PNB offered helpful service at the branch and online,service,-0.302,negative,2,2,12891,FALSE,TRUE,69,"Pune, India"
Pooja,HDFC Bank,Private,Twitter,2025-03-25T21:43:50,Great rewards from HDFC Bank on UPI payments,promotion,0.308,positive,0,0,19431,TRUE,FALSE,,"Hyderabad, India"
Aditi,ICICI Bank,Private,Twitter,2025-01-30T10:50:21,ICICI Bank transactions are slower during peak hours,speed,-0.233,negative,5,1,7093,TRUE,FALSE,,"Mumbai, India"
Vivaan,HDFC Bank,Private,Twitter,2025-01-14T18:55:25,Loving the cashback offer on HDFC Bank app today!,promotion,-0.181,negative,0,0,2653,FALSE,TRUE,58,"Kolkata, India"
Lakshmi,PNB,Public,Twitter,2025-08-24T04:35:29,"PNB promo gave instant discount, impressive #banking",promotion,-0.192,negative,1,1,6872,TRUE,TRUE,108,"Bengaluru, India"
Siddharth,HDFC Bank,Private,Twitter,2025-01-15T02:08:44,Reached out to HDFC Bank support on Twitter but no reply #Cashback,service,-0.132,negative,3,0,6694,FALSE,FALSE,,"Chennai, India"
Ananya,HDFC Bank,Private,Twitter,2024-09-20T06:42:14,Why is HDFC Bank taking so long to process UPI?,speed,-0.495,negative,4,0,17529,TRUE,TRUE,1,"Bengaluru, India"
Harini,HDFC Bank,Private,Twitter,2025-07-10T02:35:51,HDFC Bank customer service resolved my issue quickly (HDFC app),service,-0.634,negative,1,3,2972,FALSE,FALSE,,"Kolkata, India"
Saanvi,Axis Bank,Private,Twitter,2025-04-10T05:29:46,SBI/Banks: Axis Bank seems inconsistent with speed,speed,0.11,positive,7,1,15080,FALSE,FALSE,,
Anjali,SBI,Public,Twitter,2024-10-24T23:40:54,Chatbot couldn't help me — SBI needs better support,service,0.411,positive,4,1,17209,FALSE,FALSE,,"Bengaluru, India"
Siddharth,SBI,Public,Twitter,2025-03-08T03:07:19,Transaction failed on SBI UPI — money debited but not credited,failure,-0.52,negative,2,0,16664,FALSE,FALSE,,
Pooja,PNB,Public,Twitter,2025-09-30T22:42:24,Transaction failed on PNB UPI — money debited but not credited,failure,-0.88,negative,6,1,17700,FALSE,TRUE,465,"Hyderabad, India"
Vikram,PNB,Public,Twitter,2025-02-10T13:40:19,PNB app crashed while transferring funds,failure,0.799,positive,1,1,1937,TRUE,FALSE,,"Delhi, India"
Sai,PNB,Public,Twitter,2025-09-15T14:01:44,Loving the cashback offer on PNB app today! #banking,promotion,0.358,positive,4,1,17753,FALSE,FALSE,,"Delhi, India"
Lakshmi,ICICI Bank,Private,Twitter,2025-02-05T09:58:56,SBI/Banks: ICICI Bank seems inconsistent with speed,speed,-0.785,negative,0,0,3961,FALSE,TRUE,140,"Mumbai, India"
Ishita,SBI,Public,Twitter,2024-07-27T10:39:42,Can't complete payment on SBI. UPI timeout happened,failure,0.085,neutral,1,0,19179,FALSE,FALSE,,"Delhi, India"
Keerthi,Axis Bank,Private,Twitter,2025-01-17T09:53:34,"UPI failed on Axis Bank, very frustrating",failure,0.554,positive,2,1,7263,FALSE,FALSE,,"Delhi, India"
Ishita,PNB,Public,Twitter,2025-08-23T00:37:40,Chatbot couldn't help me — PNB needs better support,service,0.37,positive,1,3,7504,FALSE,FALSE,,"Delhi, India"
Saanvi,SBI,Public,Twitter,2025-06-10T02:09:34,Chatbot couldn't help me — SBI needs better support (YONO),service,-0.932,negative,2,0,17178,FALSE,FALSE,,"Kolkata, India"
Meera,ICICI Bank,Private,Twitter,2024-07-01T22:33:03,Transaction failed on ICICI Bank UPI — money debited but not credited (iMobile),failure,0.257,positive,2,2,1744,FALSE,FALSE,,"Kolkata, India"
Arjun,Axis Bank,Private,Twitter,2024-10-05T14:52:02,Long IVR wait time for Axis Bank. Very annoying,service,-0.284,negative,0,0,13873,FALSE,TRUE,9,"Chennai, India"
Varun,PNB,Public,Twitter,2025-01-13T00:56:58,"UPI failed on PNB, very frustrating",failure,-0.807,negative,2,0,12593,FALSE,FALSE,,"Kolkata, India"
Aarav,ICICI Bank,Private,Twitter,2025-01-09T12:11:35,ICICI Bank's new promo is tempting — good job #banking,promotion,0.238,positive,2,4,4483,FALSE,FALSE,,"Kolkata, India"
Lakshmi,SBI,Public,Twitter,2025-05-25T01:35:54,SBI app showing unknown beneficiary - possible fraud #BankDown,fraud,-0.769,negative,3,2,8904,FALSE,FALSE,,"Hyderabad, India"
Shreya,PNB,Public,Twitter,2025-09-24T21:11:55,Transaction failed on PNB UPI — money debited but not credited,failure,-0.587,negative,4,1,12275,TRUE,FALSE,,"Pune, India"
Pooja,HDFC Bank,Private,Twitter,2024-06-29T02:04:16,Long IVR wait time for HDFC Bank. Very annoying,service,-0.541,negative,3,3,19988,TRUE,FALSE,,"Chennai, India"
Krishna,PNB,Public,Twitter,2025-05-28T21:22:08,Someone tried to scam me pretending to be PNB customer care,fraud,0.169,positive,3,1,11006,FALSE,FALSE,,
Siddharth,Bank of Baroda,Public,Twitter,2024-06-26T21:48:16,Delay in transaction confirmation on Bank of Baroda,speed,-1,negative,0,0,1402,FALSE,FALSE,,"Kolkata, India"
Karan,SBI,Public,Twitter,2025-08-26T20:01:10,SBI's new promo is tempting — good job,promotion,0.538,positive,1,0,12101,FALSE,FALSE,,"Delhi, India"
Radhika,Axis Bank,Private,Twitter,2025-10-28T04:08:38,Axis Bank app shows error during checkout,failure,-0.189,negative,2,0,5598,FALSE,TRUE,43,"Delhi, India"
Riya,ICICI Bank,Private,Twitter,2025-10-17T05:22:14,ICICI Bank app shows error during checkout,failure,-0.362,negative,6,1,7865,TRUE,TRUE,5,"Delhi, India"
Keerthi,SBI,Public,Twitter,2025-09-19T00:53:51,Transaction failed on SBI UPI — money debited but not credited,failure,-0.429,negative,0,0,919,TRUE,TRUE,13,
Aditi,HDFC Bank,Private,Twitter,2025-04-21T21:36:24,"HDFC Bank promo gave instant discount, impressive",promotion,1,positive,3,0,254,TRUE,TRUE,6,"Delhi, India"
Ishaan,HDFC Bank,Private,Twitter,2025-11-06T20:26:25,Reached out to HDFC Bank support on Twitter but no reply,service,-0.264,negative,2,2,3739,TRUE,FALSE,,"Bengaluru, India"
Deepak,PNB,Public,Twitter,2024-12-12T08:33:03,PNB payment completed instantly — smooth! #DigitalBanking,speed,-0.396,negative,1,0,19954,FALSE,FALSE,,"Hyderabad, India"
Karan,ICICI Bank,Private,Twitter,2024-07-30T19:09:11,ICICI Bank app showing unknown beneficiary - possible fraud,fraud,-0.288,negative,3,2,15327,TRUE,FALSE,,"Mumbai, India"
Vikram,HDFC Bank,Private,Twitter,2024-11-30T14:43:10,SBI/Banks: HDFC Bank seems inconsistent with speed #UPI (HDFC app),speed,0.084,neutral,3,0,857,TRUE,FALSE,,"Mumbai, India"
Ananya,SBI,Public,Twitter,2024-07-21T17:14:54,"SBI promo gave instant discount, impressive",promotion,0.098,neutral,4,1,12576,TRUE,FALSE,,"Mumbai, India"
Anjali,HDFC Bank,Private,Twitter,2024-06-23T05:03:56,Claimed an offer from HDFC Bank and it worked seamlessly,promotion,0.057,neutral,4,1,3137,FALSE,FALSE,,"Kolkata, India"
Siddharth,ICICI Bank,Private,Twitter,2024-08-27T04:16:37,Claimed an offer from ICICI Bank and it worked seamlessly #banking,promotion,0.227,positive,1,1,6570,FALSE,FALSE,,"Hyderabad, India"
Mahesh,Axis Bank,Private,Twitter,2025-08-09T15:09:54,Delay in transaction confirmation on Axis Bank #banking,speed,-0.088,neutral,2,1,18969,FALSE,FALSE,,"Delhi, India"
Harini,ICICI Bank,Private,Twitter,2024-09-16T04:11:49,ICICI Bank app shows error during checkout #fraudAlert,failure,-0.49,negative,3,0,11751,FALSE,TRUE,106,
Pranav,SBI,Public,Twitter,2025-02-25T15:07:39,Loving the cashback offer on SBI app today!,promotion,1,positive,2,1,18281,FALSE,FALSE,,
Nisha,Axis Bank,Private,Twitter,2024-12-17T19:55:07,Can't complete payment on Axis Bank. UPI timeout happened,failure,0.014,neutral,1,1,9486,FALSE,TRUE,17,"Kolkata, India"
Vikram,ICICI Bank,Private,Twitter,2025-09-22T12:29:11,ICICI Bank offered helpful service at the branch and online,service,-0.225,negative,3,1,8379,TRUE,TRUE,136,"Bengaluru, India"
Aditya,PNB,Public,Twitter,2025-07-23T01:36:36,PNB app showing unknown beneficiary - possible fraud #Cashback,fraud,-0.087,neutral,5,2,8728,FALSE,FALSE,,"Mumbai, India"
Vivaan,Axis Bank,Private,Twitter,2024-06-12T21:25:10,Chatbot couldn't help me — Axis Bank needs better support,service,0.084,neutral,4,0,13941,TRUE,TRUE,12,"Hyderabad, India"
Rahul,ICICI Bank,Private,Twitter,2024-12-20T01:46:51,ICICI Bank customer service resolved my issue quickly,service,-0.218,negative,0,0,11981,FALSE,FALSE,,"Mumbai, India"
Shreya,ICICI Bank,Private,Twitter,2025-03-02T01:49:59,Delay in transaction confirmation on ICICI Bank,speed,-0.01,neutral,1,3,10443,FALSE,TRUE,6,"Pune, India"
Suresh,PNB,Public,Twitter,2024-08-03T12:24:17,Transaction failed on PNB UPI — money debited but not credited,failure,-0.075,neutral,1,0,10548,FALSE,FALSE,,"Bengaluru, India"
Aarav,SBI,Public,Twitter,2025-01-25T16:53:27,Loving the cashback offer on SBI app today!,promotion,0.318,positive,2,0,4723,FALSE,FALSE,,
Aarav,Bank of Baroda,Public,Twitter,2024-08-28T12:27:55,Why is Bank of Baroda taking so long to process UPI?,speed,-0.02,neutral,1,1,18191,FALSE,FALSE,,"Chennai, India"
Nisha,SBI,Public,Twitter,2024-06-27T20:07:45,SBI transactions are slower during peak hours #fraudAlert,speed,-0.067,neutral,4,2,13940,FALSE,TRUE,5,"Pune, India"
Pooja,ICICI Bank,Private,Twitter,2025-06-27T09:12:16,ICICI Bank offered helpful service at the branch and online #banking,service,-0.145,negative,1,1,19517,FALSE,FALSE,,"Delhi, India"
Sowmya,Bank of Baroda,Public,Twitter,2025-01-26T18:47:12,Bank of Baroda app crashed while transferring funds #BankDown,failure,-0.688,negative,2,0,6498,FALSE,TRUE,10,"Bengaluru, India"
Ananya,PNB,Public,Twitter,2025-05-18T10:21:14,PNB customer service resolved my issue quickly,service,-0.557,negative,2,2,19740,FALSE,TRUE,210,
Ishita,HDFC Bank,Private,Twitter,2024-09-08T00:00:35,HDFC Bank's new promo is tempting — good job,promotion,0.635,positive,1,0,10106,FALSE,TRUE,8,"Mumbai, India"
Arjun,SBI,Public,Twitter,2025-07-07T05:58:58,Loving the cashback offer on SBI app today!,promotion,0.441,positive,1,0,19670,TRUE,FALSE,,"Pune, India"
Vihaan,SBI,Public,Twitter,2024-09-02T04:17:36,Claimed an offer from SBI and it worked seamlessly,promotion,0.662,positive,1,1,4228,TRUE,FALSE,,"Mumbai, India"
